url,title,category,news_time,scraped_at
https://fashion.ettoday.net/news/3223111,風Luxury／抱歉了牛頓！寶璣陀飛輪225周年　神級錶制霸地心引力,時尚,2026/08/21 12:05,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223197.htm,「神秘友人」發文坑慘了趙建銘？媒體人：說越多越漏氣,生活,2026/08/21 12:03,2026-08-21 05:12:26
https://travel.ettoday.net/article/3214588.htm,品嘗百年前獻給明治天皇的紅豆麵包！東京銀座6間甜點名店一次收,旅遊,2026/08/21 12:00,2026-08-21 05:12:26
https://finance.ettoday.net/news/3223220,台灣風能訓練公司再度雙料入圍GWO大獎　維持亞太指標訓練機構地位,財經,2026/08/21 11:59,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223211.htm,坤達超慘！閃兵案出庭認罪求輕判　驚傳被廠商求償1382萬,社會,2026/08/21 11:59,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223190.htm,催債嗆「幫你們準備棺材」　債主涉公然侮辱罰6千元,社會,2026/08/21 11:58,2026-08-21 05:12:26
https://travel.ettoday.net/article/3223219.htm,台北晶華住房「每人每晚2800元起」　再送4000元餐飲金,旅遊,2026/08/21 11:56,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223222.htm,昔把陳水扁打到住院3天　韓國瑜看陳幸妤婚變：希望他們全家平安,政治,2026/08/21 11:55,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223089.htm,傳蘋果新一代 Apple Watch 重推「陶瓷錶殼」　觸感、光澤更高級,3C家電,2026/08/21 11:55,2026-08-21 05:12:26
https://house.ettoday.net/news/3222867,台積電高雄5座廠進度曝光！　楠梓房價受激勵3年漲38%,房產雲,2026/08/21 11:55,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223216.htm,市區公車營收第一！李四川又搞錯新北公車　稱307經三峽走高速公路,政治,2026/08/21 11:52,2026-08-21 05:12:26
https://travel.ettoday.net/article/3223156.htm,先喝道「英式玫瑰拿鐵」買1送1　顏太煮《粽邪》聯名推3飲品,旅遊,2026/08/21 11:52,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223212.htm,飛機墜毀阿拉斯加　機上8人生死不明,國際,2026/08/21 11:50,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223206.htm,外送員機車沒熄火被騎走！賊接電話道歉　還告訴失主車停哪裡,社會,2026/08/21 11:48,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223164.htm,許芊芊要趙建銘送名牌包！扁家金孫曝：在美生活費比她薪水低,社會,2026/08/21 11:46,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223217.htm,退場校園變公共服務據點！　曾文園區7機關271人進駐,地方,2026/08/21 11:45,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223210.htm,親民黨轟賴政府：13萬戶社宅承諾跳票　選前畫大餅還是執政無能？,政治,2026/08/21 11:45,2026-08-21 05:12:26
https://sports.ettoday.net/news/3223215,快訊／三上悠亞確定續約夢想家！披Formosa Sexy戰袍喊主場見,體育,2026/08/21 11:41,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223205.htm,快訊／分租套房火警！男租客獲救後拔腿閃人　原來是通緝犯,社會,2026/08/21 11:39,2026-08-21 05:12:26
https://finance.ettoday.net/news/3223181,「韓版0050」009829上市！爆量漲逾3%　重壓海力士、三星,財經,2026/08/21 11:39,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223208.htm,徐永明二審改判無罪　時力尊重法院判決：社會該還他公道,政治,2026/08/21 11:36,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223056.htm,汽車業務變王子！比利時王室「再認私生子」　生母身分曝,國際,2026/08/21 11:36,2026-08-21 05:12:26
https://sports.ettoday.net/news/3223203,李灝宇「就該待在大聯盟」！美媒盛讚拚勁　隨隊記者：二壘守備勝托瑞斯,體育,2026/08/21 11:35,2026-08-21 05:12:26
https://www.ettoday.net/news/20260821/3223152.htm,日本人妻瞞丈夫「30歲AV女優出道」！曾來台會粉絲　羞曝入行契機,國際,2026/08/21 11:35,2026-08-21 05:12:26
