url,title,category,news_time,scraped_at
https://game.ettoday.net/article/3224742.htm,科幻鉅作回歸！《攻殼機動隊》4K修復版重映　限定海報曝光,遊戲,2026/08/24 14:17,2026-08-24 07:53:24
https://www.ettoday.net/news/20260824/3224751.htm,台鐵東部、南迴對號列車晚間停駛　部分區間車正常營運,生活,2026/08/24 14:14,2026-08-24 07:53:24
https://www.ettoday.net/news/20260824/3224730.htm,270部抽水機、2萬砂包全就位！嘉義迎戰豪雨　翁章梁緊盯防汛,社會,2026/08/24 14:06,2026-08-24 07:53:24
https://star.ettoday.net/news/3224735,金秀賢復出太緊張「唱到破音」！閉眼哽咽難掩激動　台下粉絲淚崩,影劇,2026/08/24 14:05,2026-08-24 07:53:24
https://www.ettoday.net/news/20260824/3224725.htm,又因京華城另涉背信求刑26年！沈慶京喊冤...控檢害他「親離信散」,社會,2026/08/24 14:04,2026-08-24 07:53:24
https://www.ettoday.net/news/20260824/3224732.htm,沙德爾颱風接近　虎航明天往返沖繩6架次提前起飛,生活,2026/08/24 14:01,2026-08-24 07:53:24
https://www.ettoday.net/news/20260824/3224731.htm,萬華民宅暗藏職業天九牌賭場　76歲負責人1年前才被抓,社會,2026/08/24 14:00,2026-08-24 07:53:24
https://www.ettoday.net/news/20260824/3224728.htm,豪大雨+堰塞湖警戒！花蓮撤離209人收容30人　鐵公路封閉停駛,社會,2026/08/24 13:56,2026-08-24 07:53:24
https://sports.ettoday.net/news/3224717,球迷伸手搶球釀大禍！巨人外野手扭傷腳踝　痛苦倒地後退場,體育,2026/08/24 13:53,2026-08-24 07:53:24
https://sports.ettoday.net/news/3224679,賽揚熱門竟輸給小學生！火球怪物桌球落敗　直呼壓力比登板還大,體育,2026/08/24 13:52,2026-08-24 07:53:24
https://star.ettoday.net/news/3224724,快訊／五熊在日本遭逮！經紀人首發聲曝狀況「無法聯繫本人」：依法調查中,影劇,2026/08/24 13:40,2026-08-24 07:53:24
https://star.ettoday.net/news/3224722,最強小三吃胎盤！冷凍1個月「包成水餃吞下肚」　不倫富商10年生4個,影劇,2026/08/24 13:40,2026-08-24 07:53:24
https://www.ettoday.net/news/20260824/3224721.htm,聯合航空「疑液壓系統異常」急返桃機　降落後爆胎無法移動,生活,2026/08/24 13:40,2026-08-24 07:53:24
https://finance.ettoday.net/news/3224723,台股收跌462點量縮至6294億　台積電跌35元至今最低2375,財經,2026/08/24 13:36,2026-08-24 07:53:24
